Date,RELIANCE,TCS,HINDUNILVR,INFY,HDFC,BHARTIARTL,ITC,ASIANPAINT,NESTLEIND,HCLTECH,MARUTI,LT,TITAN,BRITANNIA,BAJAJ-AUTO,EICHERMOT,DRREDDY,DMART,PIDILITIND,HDFCBANK,KOTAKBANK,ICICIBANK,AXISBANK
17-12-2017,911.757446,1323.375,1356.5,519.674988,1709.349976,485.303192,263.100006,1138,7883.299805,443.450012,9700,1266.150024,856.849976,2373.324951,3328.949951,3025.074951,2332.699951,1306.550049,944.549988,938.325012,1010.049988,316.600006,553.599976
24-12-2017,912.401367,1350.599976,1367.849976,521.025024,1710.400024,486.313171,263.25,1158.5,7870.899902,445.25,9729.549805,1258.25,858.150024,2354.625,3333.600098,3034.084961,2414.199951,1365.800049,902.200012,936.200012,1010.200012,314,563.950012
31-12-2017,914.580688,1344.599976,1356.550049,506,1725.199951,495.816315,262.899994,1185.25,7856.75,450.024994,9433.849609,1314.900024,909.700012,2322.050049,3279.850098,2923.699951,2473.399902,1281.099976,910.200012,931.799988,1003.049988,312.899994,563.25
07-01-2018,940.088867,1388.175049,1374,539.224976,1760.949951,467.857788,267.549988,1189.699951,7789.25,462.950012,9459.150391,1329.150024,903.799988,2354.149902,3175.350098,2864.975098,2447.649902,1324.800049,910.099976,932.650024,1023.349976,317.700012,555.099976
14-01-2018,922.555115,1479.650024,1362.449951,571.724976,1901.25,457.161011,274.549988,1189.900024,7680.649902,479.149994,9323.950195,1371.449951,891.450012,2342.225098,3210.399902,2800.945068,2490.350098,1419.849976,890.349976,976.099976,1060.550049,353.600006,590.25
21-01-2018,956.8302,1560.525024,1372.75,587.700012,1908.300049,415.659363,281.25,1150.449951,7490.75,504.774994,9278.200195,1416.5,884.099976,2312.800049,3311.699951,2651.939941,2507.75,1469.099976,877.25,987.474976,1092.349976,360.799988,616.099976
28-01-2018,895.858154,1576.824951,1372.199951,571.625,1903.849976,387.792633,275.350006,1137.900024,7135.450195,495.450012,8990.599609,1415.449951,822.200012,2363.225098,3241.300049,2781.175049,2123.550049,1475.400024,862.799988,974,1085.949951,335.100006,564.900024
04-02-2018,889.419189,1485.849976,1333.050049,554.575012,1773.050049,387.930359,271.350006,1130.75,6969.649902,482,8936.099609,1329.25,796.799988,2320.574951,3099.25,2774.794922,2193.800049,1483,878.200012,924.75,1032,326.75,557.549988
11-02-2018,912.648987,1466.525024,1352.099976,564.025024,1815.5,385.359467,266.450012,1143.849976,7592.850098,468.549988,8836.950195,1328.400024,803.200012,2390.975098,3103.899902,2732.814941,2213.550049,1486.800049,891.650024,939.299988,1050.199951,321.049988,537.849976
18-02-2018,925.477417,1537.900024,1323.150024,577.825012,1824.199951,390.730804,269.049988,1101.800049,7582.799805,477.799988,8698.799805,1301.699951,814.200012,2480.949951,2986.399902,2672.439941,2167.050049,1453.900024,900.700012,940.275024,1080.849976,322.75,536.650024
25-02-2018,939.494507,1518.849976,1324.25,580.375,1814.150024,392.750793,264,1118.900024,7849.399902,471.399994,8873.450195,1315.199951,810.200012,2471.925049,3020.899902,2774.235107,2231.5,1417.199951,894.400024,937.174988,1095.699951,304.950012,525.75
04-03-2018,904.526001,1517.050049,1300.75,581.700012,1818.599976,369.245422,259.25,1129.099976,7657.350098,471.5,8660.599609,1290.5,819.099976,2420.899902,2935.399902,2796.38501,2129.899902,1497.550049,878.700012,925.525024,1082.449951,292.700012,505.350006
11-03-2018,891.598511,1412.849976,1299.150024,585.950012,1791.400024,382.650848,260.5,1122.75,7695.350098,483.799988,8676.549805,1269.300049,879.25,2430.300049,2910.449951,2807.915039,2142.149902,1531.099976,916.299988,926.5,1060.75,298.100006,522.599976
18-03-2018,885.506287,1409.074951,1301.650024,583.799988,1789.599976,378.93222,256,1112.650024,7793.799805,478.700012,8607.25,1267.900024,895.049988,2419.824951,2789.949951,2789.610107,2072.300049,1593.550049,902.200012,920.775024,1038.800049,275.549988,499.5
25-03-2018,874.411438,1424.574951,1333.349976,565.900024,1825.599976,366.077728,255.5,1120.400024,8203.549805,484.299988,8861.099609,1310.900024,942.299988,2485.300049,2744.699951,2837.264893,2080.550049,1535.349976,917.799988,943.049988,1047.800049,278.350006,510.5
01-04-2018,902.44574,1475.150024,1374.800049,563.5,1829,353.452759,260.850006,1143.5,8346.950195,476.325012,9206.200195,1316.550049,940.299988,2589.125,2786.399902,2979.915039,2124.800049,1494.25,979.049988,961.700012,1119.199951,280.649994,500.200012
08-04-2018,930.03418,1576.650024,1410.550049,585.724976,1840.599976,346.979614,260.75,1162.199951,8687.5,495.625,9123.950195,1354.849976,987.150024,2604.449951,2786.199951,3135.300049,2089.949951,1485.400024,1024.900024,962.5,1151.099976,288.25,542.549988
15-04-2018,919.187012,1701.224976,1467.800049,589.224976,1834.150024,369.107697,276.200012,1159.349976,9162,531.174988,9025,1365.050049,956.549988,2661.175049,2852.699951,3114.870117,2121.899902,1568.25,1062.349976,977.950012,1152.849976,282.149994,505.700012
22-04-2018,986.944763,1725.974976,1473.949951,592.599976,1853.75,375.30542,279.399994,1181.599976,9061.700195,520.825012,8783.349609,1377.75,970,2730.375,2947.149902,3159.929932,2097.75,1576,1068.699951,961.700012,1188.75,287.899994,539.200012
29-04-2018,944.992432,1740.375,1464.199951,586.549988,1910.349976,364.287262,277.149994,1190.449951,9111.400391,464.924988,8678.200195,1368.699951,958.099976,2692.25,2888.649902,2920.840088,2106.600098,1521.5,1070.550049,994.25,1233.449951,282.850006,520.299988
06-05-2018,979.960938,1728.474976,1504.099976,590.375,1919.800049,354.967743,283.649994,1286.449951,9523,466.424988,8750.299805,1387.400024,956.049988,2738.850098,2815.449951,3087.300049,1990.5,1566.699951,1103.150024,1005.875,1267.300049,310.950012,553.299988
13-05-2018,925.081177,1751.025024,1605.800049,591.599976,1853,331.783752,282.299988,1308.349976,9683.5,445.350006,8510.950195,1315.550049,939.950012,2798.524902,2787.5,3008.620117,1982,1650.75,1081.400024,1006.075012,1294.400024,286.100006,532.900024
20-05-2018,912.153687,1792.900024,1575.75,614.150024,1819.75,346.10733,272.299988,1292.349976,9734.799805,458,8548.150391,1342,924.400024,2913.75,2758.5,3020.344971,1967.849976,1589.400024,1139.550049,1004.349976,1295.849976,295.649994,538.5
27-05-2018,921.812134,1732.449951,1588.849976,610.400024,1844.25,352.305054,269.950012,1293.050049,9898.549805,452.424988,8808.849609,1372.400024,900,2906.225098,2896.550049,2986.875,1941.400024,1616.699951,1119.349976,1055.300049,1318,289.299988,536.650024
03-06-2018,975.106934,1747.099976,1595.599976,630.025024,1840.449951,346.658234,267.899994,1278.849976,9888.849609,464.350006,8932.450195,1343.949951,896,2958.824951,2874.050049,2951.300049,2062.899902,1559.699951,1070.349976,1024.675049,1318.349976,288.25,537.400024
10-06-2018,1004.676697,1840.050049,1621.300049,640.625,1832.25,347.300964,264.5,1282.199951,9742.5,474.149994,8951.599609,1329.900024,903.450012,3068.300049,2877.149902,2957.375,2349.850098,1604.5,1083.849976,1014.799988,1340,282.5,528.75
17-06-2018,1002.992615,1809.800049,1608.099976,623.924988,1906.75,343.903717,265.149994,1267.699951,9871.049805,452.399994,8874.900391,1299.849976,877.549988,2979.725098,2832.199951,2914.064941,2336.25,1561.199951,1050.699951,1041.675049,1321.400024,300.649994,525.650024
24-06-2018,963.318726,1847.75,1641.150024,653.599976,1908.099976,350.698242,266.200012,1264.449951,9810.099609,463.125,8825.599609,1275.099976,878.5,3106.875,2810.300049,2859.044922,2235.050049,1535.150024,1063.5,1054.224976,1342.949951,275.399994,510.799988
01-07-2018,968.370789,1912.949951,1678.300049,642.125,1916.849976,332.610107,272.649994,1323.150024,9943.049805,471.950012,9317.5,1266.300049,829.650024,3154.949951,3020.100098,2762.629883,2269.050049,1501.849976,1056.599976,1057.574951,1371.199951,270.049988,513.700012
08-07-2018,1089.4729,1981.099976,1742.650024,658.700012,1972.5,329.580139,270.399994,1367.800049,10142,491.674988,9431.049805,1298.400024,838.700012,3237.550049,3138.649902,2752.915039,2319.850098,1395.949951,1064.5,1090.449951,1404.349976,267.75,523
15-07-2018,1118.052002,1996.599976,1655.849976,674.049988,1973.849976,317.138794,274,1396.449951,10348.2002,499.600006,9398.950195,1270.349976,860.400024,3179.074951,2839.600098,2704.810059,2051.899902,1331.199951,1030.949951,1094.525024,1333.300049,265.799988,533.700012
22-07-2018,1119.240723,1943.75,1659,686.724976,2047.25,334.85965,302.549988,1434.849976,10284.15039,481.725006,9310.400391,1311.449951,884.099976,3192.600098,2686.75,2894.620117,2083.199951,1411.699951,1128.199951,1101.074951,1311.099976,293.200012,553.25
29-07-2018,1165.898438,1979.449951,1763,682.049988,1977.5,343.857788,303.950012,1411.849976,10324.59961,481.825012,9187,1290,919.200012,3196.350098,2690.449951,2699.570068,2281.050049,1234.25,1108.650024,1060.824951,1309.5,305,574.75
05-08-2018,1192.892578,1993.099976,1752.699951,692.724976,1974.300049,339.542358,304.799988,1418.599976,10686.04981,483,9148.25,1264.650024,920.099976,3171.875,2629.699951,2899.77002,2214.300049,1226.599976,1122.650024,1057.224976,1285.5,328.600006,615.5
12-08-2018,1192.446777,2012.75,1784.75,715.174988,1885.650024,341.011444,313.75,1400.650024,10873,501.524994,9152.099609,1240.150024,941.549988,3314.949951,2661.350098,2847.61499,2364.149902,1462.5,1123.699951,1038.675049,1263.25,340,627.299988
19-08-2018,1265.504272,2043,1780.949951,689.150024,1919.050049,338.761902,310.399994,1393.5,11362.7002,511.674988,9163.799805,1342.900024,885.349976,3386.725098,2682.25,2886.97998,2447.449951,1396.75,1151.349976,1034.925049,1254.5,330.149994,639.900024
26-08-2018,1229.990967,2078.399902,1780.099976,720.549988,1935.949951,352.44278,319.850006,1372.449951,11582.25,523.224976,9096.400391,1369.550049,891.900024,3368.375,2744.850098,2805.975098,2492,1387.900024,1168.650024,1030.599976,1287.25,342.600006,649.25
02-09-2018,1266.593994,2079.850098,1638.75,732.799988,1920,357.72229,310.450012,1316,10446.54981,536.974976,8719.200195,1347.5,867.450012,3114.550049,2923.550049,2868.219971,2632.5,1410.900024,1159.599976,1028.474976,1244.949951,335.100006,645.549988
09-09-2018,1241.382935,2065.399902,1629.300049,733.700012,1925.449951,352.213226,307.149994,1333.900024,10335.4502,535.349976,8626.700195,1358.849976,842.599976,3056.149902,2877.5,2938.375,2581.850098,1492.5,1136.650024,1014.799988,1239.550049,328.350006,636.400024
16-09-2018,1206.067627,2103.149902,1621.300049,705.299988,1839.400024,340.185089,303.950012,1304.75,9749.599609,542.450012,8040.149902,1329.699951,800.599976,2895.375,2799.199951,2794.02002,2556.25,1513.150024,1136.849976,985.125,1180.199951,317.100006,599.200012
